id_inventario;titulo;nombre_autor;fecha_creacion;fondo (cm);ancho (cm);alto (cm);tecnica;tipo;material_base;material_secundario;tematica;estado_patrimonial;usuario;alta;valor_adquisicion(euros)
1001547;AGUAMANIL DE PORCELANA INGLESA;DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;OTROS;;BARRO;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001548;QUINQUE DE OPALINA;DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;OTROS;;CRISTAL;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001549;"FIGURA DE PORCELANA ""VIAJE DE COLON""";DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;OTROS;;PORCELANA;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001550;TRAJE REGIONAL HUERTANA;DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;OTROS;;TELA;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001551;DOS CANDELABROS;DESCONOCIDO;DESCONOCIDO;200;200;650;DESCONOCIDA;OTROS;;BRONCE;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001552;RELOJ DE PARED;DESCONOCIDO;DESCONOCIDO;0;240;0;DESCONOCIDA;OTROS;;PORCELANA;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001553;FIGURA DE HUERTANOS;DESCONOCIDO;DESCONOCIDO;0;120;220;DESCONOCIDA;OTROS;;BARRO;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001554;ATALAYA;AVELLANEDA, MANUEL;01.01.1995;0;630;540;DESCONOCIDA;PINTURA;;OLEO;PAISAJE;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;420708
1001555;MENINA EN GRISES;MOLINA SANCHEZ, JOSE ANTONIO;01.01.0019;0;600;810;DESCONOCIDA;PINTURA;;OLEO;RETRATO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;901518
1001556;EL HUERTANO;MOLINA SANCHEZ, JOSE ANTONIO;DESCONOCIDO;0;280;590;DESCONOCIDA;PINTURA;;TINTA;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;75127
1001557;MUJER;MOLINA SANCHEZ, JOSE ANTONIO;DESCONOCIDO;0;280;590;DESCONOCIDA;PINTURA;PAPEL;TINTA;RETRATO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;75127
1001558;FUSILAMIENTOS;BONAFE, JUAN;01.01.1937;0;1000;810;DESCONOCIDA;PINTURA;;OLEO;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;901518
1001559;RETRATO DE ADELA;BONAFE, JUAN;DESCONOCIDO;0;450;660;DESCONOCIDA;DIBUJO;;;RETRATO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;210354
1001560;RETRATO DE ADELA;BONAFE, JUAN;DESCONOCIDO;0;350;440;DESCONOCIDA;DIBUJO;;;RETRATO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;210354
1001561;RETRATO DE SE?ORA DE NICOLAS;JULIO ANTONIO;DESCONOCIDO;0;288;280;DESCONOCIDA;DIBUJO;;ACUARELA;RETRATO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;150253
1001562;DA;GOMEZ CANO, ANTONIO;DESCONOCIDO;0;705;500;DESCONOCIDA;PINTURA;;OLEO;RETRATO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;601012
1001563;PAISAJE DE BILBAO;GOMEZ CANO, ANTONIO;DESCONOCIDO;0;340;590;DESCONOCIDA;PINTURA;;OLEO;PAISAJE;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;601012
1001564;LIBROS Y CERAMICA;GOMEZ CANO, ANTONIO;01.01.1960;0;810;610;DESCONOCIDA;PINTURA;;OLEO;INTERIOR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;601012
1001565;PAISAJE DEL RIO;VICTORIO NICOLAS;DESCONOCIDO;0;600;450;DESCONOCIDA;PINTURA;;ACUARELA;PAISAJE;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;300506
1001566;OCHO DE ESPADAS;BELZUNCE, MANOLO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001567;NUEVE DE ESPADAS.;CACHO, JOSE LUIS;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001568;DIEZ DE ESPADAS;MARTINEZ MENGUAL, ANTONIO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001569;ONCE DE ESPADAS;SAURA SERNA, FRANCISCO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001570;DOCE DE ESPADAS;AZPARREN, J.;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001571;AS DE BASTOS;MOLINA SANCHEZ, JOSE ANTONIO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001572;DOS DE BASTOS;BARNUEVO, MANUEL;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001573;TRES DE BASTOS;JIMENEZ, ANTONIO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001574;CUATRO DE BASTOS;HARO, ANGEL;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001575;CINCO DE BASTOS;ALONSO LUZZY, RAMON;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001576;SEIS DE BASTOS;CAMPUZANO MORENO, ESTEBAN;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001577;SIETE DE BASTOS;CANOVAS SALA, FRANCISCO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001578;OCHO DE BASTOS;LINARES, ESTEBAN;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001579;NUEVE DE BASTOS;VIVO, PACO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001580;DIEZ DE BASTOS;DELGADO, MANUEL;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001581;ONCE DE BATOS;CONESA, PACO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001582;DOCE DE BASTOS;GARCIA OLIVARES, ADELA;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001583;COMODIN;PINA NORTES, ?NGEL;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001584;COMODIN;BALLESTER, ANTONIO;DESCONOCIDO;0;300;400;DESCONOCIDA;ESCULTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001585;MAS ALLA DEL MAR;ANDREU MAURANDI, DOLORES;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;1081822
1001586;CARTEL CAMPA?A ANIMACION A LA LECTURA;SERNA VERDU, PEDRO;DESCONOCIDO;0;0;0;DESCONOCIDA;DIBUJO;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;70707
1001587;TEXTURAS VEGETALES;SALAS, PILAR;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;30051
1001588;EIROS(LIMONES);SALAS, PILAR;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;2404
1001589;ALMENDRO;BOVET, MATEO;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;2404
1001590;ALCARRE?A Y NARANJOS;BORONAT, M.;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;1803
1001591;VENTANA ANDALUZA;MERCADO, JUAN DE DIOS;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;2404
1001592;SEIS DE OROS;NIETO, ENRIQUE;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001593;SIETE DE OROS;STILES, PAUL;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001594;OCHO DE OROS;HERNANDEZ COP, FRANCISCO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001595;NUEVE DE OROS;?IGUEZ, FRANCISCO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001596;DIEZ DE OROS;GONZALEZ ALBERDI, MERCEDES;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001597;ONCE DE OROS;PARRAGA, JOSE MARIA;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001598;DOCE DE OROS;CHARRIS, ANGEL MATEO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001599;AS DE COPAS;GAYA, RAMON;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001600;COPAS BARAJA MURCIANA - EXPOSICION U..;VARIOS;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001601;TRES DE COPAS;MORALES, SOFIA;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001602;CUATRO DE COPAS;CATARINEU, DORA;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001603;CINCO DE COPAS;FALGAS RIGAL, JOSE MARIA;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001604;SEIS DE COPAS;TRENADO, CARMELO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001605;SIETE DE COPAS;HERNANSAEZ DE DIOS, ANGEL;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001606;OCHO DE COPAS;CEREZO MONTILLA, FRANCISCO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001607;NUEVE DE OCPAS;GARCIA, IGNACIO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001608;DIEZ DE COPAS;MU?OZ BARBERAN, MANUEL;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001609;ONCE DE COPAS;GARCIA SILVA, FRANCISCO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001610;DOCE DE COPAS;SAEZ, ASENSIO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001611;AS DE ESPADAS;CANO HERNANDEZ, PEDRO;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001612;DOS DE ESPADAS;BERNAL AGUIRRE;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001613;TRES DE ESPADAS;MONEREO, CHELETE;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001614;CUATRO DE ESPADAS;CASCAJOSA ARROYO, ENRIQUE;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001615;CINCO DE ESPADAS;RUIZ, VICENTE;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001616;SEIS DE ESPADAS;EMILIO PASCUAL;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001617;SIETE DE ESPADAS;SEGURA, JUANA;DESCONOCIDO;0;300;400;DESCONOCIDA;PINTURA;;;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001618;LA ORZA;BARNUEVO, MANUEL;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;30051
1001619;ARROPE Y FLORES;EMILIO PASCUAL;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;30051
1001620;LAS DOS ORZAS;MARTINEZ MENGUAL, ANTONIO;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;30051
1001621;MONUMENTO A LA CAPA;TOLEDO TORRECILLAS, LUIS;DESCONOCIDO;0;0;0;DESCONOCIDA;ESCULTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;1382328
1001622;OBRAS EN EL CENAJO;GOMEZ CANO, ANTONIO;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;811366
1001623;TITULO DESCONOCIDO;MONTERO FENOLLOS, LUISA;DESCONOCIDO;0;0;0;DESCONOCIDA;ESCULTURA;;;SIN DEFINIR;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0
1001624;HOMENAJE A PALLADIO;PORRAS LOBO, LUISA;DESCONOCIDO;0;0;0;DESCONOCIDA;ESCULTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;165278
1001625;MOMENTO;CEBALLOS, TOMY;DESCONOCIDO;0;0;0;DESCONOCIDA;ESCULTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;210354
1001626;DAFNE;CARBONELL TATAY, AMPARO;DESCONOCIDO;0;0;0;DESCONOCIDA;ESCULTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;300506
