id_inventario,titulo,nombre_autor,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
1001542,SILLA CON TELA,"DIAZ BAUTISTA, ANTONIO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001543,BOTELLA DE LICOR,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,,CRISTAL,SIN DEFINIR
1001544,BOTELLA DE LICOR,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,,CRISTAL,SIN DEFINIR
1001545,UNA PAREJA DE JOVENES BISCUIT,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,,PORCELANA,SIN DEFINIR
1001546,GALERA-MACETERO,DESCONOCIDO,50.0,75.0,39.0,DESCONOCIDA,OTROS,,MADERA,SIN DEFINIR
1001547,AGUAMANIL DE PORCELANA INGLESA,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,,BARRO,SIN DEFINIR
1001548,QUINQUE DE OPALINA,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,,CRISTAL,SIN DEFINIR
1001549,"FIGURA DE PORCELANA ""VIAJE DE COLON""",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,,PORCELANA,SIN DEFINIR
1001550,TRAJE REGIONAL HUERTANA,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,,TELA,SIN DEFINIR
1001551,DOS CANDELABROS,DESCONOCIDO,20.0,20.0,65.0,DESCONOCIDA,OTROS,,BRONCE,SIN DEFINIR
1001552,RELOJ DE PARED,DESCONOCIDO,0.0,24.0,0.0,DESCONOCIDA,OTROS,,PORCELANA,SIN DEFINIR
1001553,FIGURA DE HUERTANOS,DESCONOCIDO,0.0,12.0,22.0,DESCONOCIDA,OTROS,,BARRO,SIN DEFINIR
1001554,ATALAYA,"AVELLANEDA, MANUEL",0.0,63.0,54.0,DESCONOCIDA,PINTURA,,OLEO,PAISAJE
1001555,MENINA EN GRISES,"MOLINA SANCHEZ, JOSE ANTONIO",0.0,60.0,81.0,DESCONOCIDA,PINTURA,,OLEO,RETRATO
1001556,EL HUERTANO,"MOLINA SANCHEZ, JOSE ANTONIO",0.0,28.0,59.0,DESCONOCIDA,PINTURA,,TINTA,FIGURATIVO
1001557,MUJER,"MOLINA SANCHEZ, JOSE ANTONIO",0.0,28.0,59.0,DESCONOCIDA,PINTURA,PAPEL,TINTA,RETRATO
1001558,FUSILAMIENTOS,"BONAFE, JUAN",0.0,100.0,81.0,DESCONOCIDA,PINTURA,,OLEO,FIGURATIVO
