N�_INVENTARIO;TITULO;NOMBRE_AUTOR;FECHA_CREACION;FONDO;ANCHO;ALTO;TECNICA;TIPO;MATERIAL_BASE;MATERIAL_SECUNDARIO;TEMATICA;ESTADO_PATRIMONIAL;USUARIO;ALTA;VALOR_ADQUISICION
1002026;COMPOSICION;"SAURA SERNA, FRANCISCO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;300.51
1002027;CEHEGIN;SALVADOR FERNANDEZ;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;210.35
1002028;SIN TITULO;"GARRIGOS MESEGUER, ALFONSO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;300.51
1002029;DESFILE DEL ENTIERRO DE LA SARDINA;"GARRIGOS MESEGUER, ALFONSO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;300.51
1002030;FIGURAS;"PARRAGA, JOSE MARIA";;0;0;0;;DIBUJO;;;;Alta patrimonial;;COMPRAVENTA;540.91
1002031;EL SUE�O DE LA REALIDAD;"SALINAS, PACO";;0;0;0;;FOTOGRAFIA;;;;Alta patrimonial;;COMPRAVENTA;679.14
1002032;SIN TITULO;"GARZA,RAMON";;0;65;65;;PINTURA;LINO;OLEO;;Alta patrimonial;;COMPRAVENTA;1141.92
1002033;SIN TITULO;"GARZA,RAMON";01.01.1987;0;195;195;;PINTURA;LIENZO;OTROS;COMPOSICION;Alta patrimonial;;COMPRAVENTA;2103.54
1002034;SIN TITULO;"BARNUEVO, MANUEL";;0;0;0;;PINTURA;;;;Baja;;COMPRAVENTA;3005.06
1002035;PAISAJE;"GARZA,RAMON";;0;35.5;23.5;;PINTURA;OLEO;TABLEX;PAISAJE;Alta patrimonial;;COMPRAVENTA;90.15
1002036;SIN TITULO;"ROMERA NAVARRO, MARCOS SALVADO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;300.51
1002037;SIN TITULO;LUIS M.;;0;0;0;;PINTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002038;SIN TITULO;"VAZQUEZ,A.M.";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;120.20
1002039;SIN TITULO;"ARTIGAS GUILLAMON ,CARMEN";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;540.91
1002040;SIN TITULO;"PARRAGA, JOSE MARIA";;0;0;0;;OTROS;MADERA;;;Alta patrimonial;;COMPRAVENTA;1652.78
1002041;SIN TITULO;"PARRAGA, JOSE MARIA";;0;0;0;;OTROS;;;;Alta patrimonial;;COMPRAVENTA;1652.78
1002042;SIN TITULO;"HERNANDEZ CARPE, ANTONIO";01.01.1955;0;600;800;;FRESCO;YESO;TEMPLE;COSTUMBRISMO;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002043;SIN TITULO;"HERNANDEZ CARPE, ANTONIO";01.01.1955;0;600;800;;FRESCO;YESO;TEMPLE;COSTUMBRISMO;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002044;NATURALEZA MUERTA;"VIVO, PACO";17.12.1988;0;100;82;;PINTURA;LIENZO;OLEO;COMPOSICION;Alta patrimonial;;COMPRAVENTA;1352.28
1002045;SIN TITULO;ANONIMO;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;0.00
1002046;SIN TITULO;KHAZZOUM;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;0.00
1002047;SIN TITULO;ANONIMO;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;0.00
1002048;SIN TITULO (MURAL);"VIUDES, VICENTE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;18030.36
1002049;NI�OS JUGANDO;"ESCORIAL, CARMEN";;0;0;0;;FRESCO;;;;Alta patrimonial;;COMPRAVENTA;6010.12
1002050;SIN TITULO;"PARRAGA, JOSE MARIA";;0;0;0;;FRESCO;;;;Alta patrimonial;;COMPRAVENTA;7212.15
1002051;MANZANAS;"PORTILLO, PABLO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;480.81
1002052;CABEZA;"LUCAS, PEPE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;901.52
1002053;EL CIELO DORADO;"MARTINEZ MENGUAL, ANTONIO";01.01.1990;0;195.5;130;;PINTURA;OLEO;LIENZO;EXPRESIONISMO;Alta patrimonial;;COMPRAVENTA;2103.54
1002054;CASA DE ESPINARDO;"HERNANDEZ CARPE, ANTONIO";;0;50;61;;PINTURA;PAPEL;OTROS;PAISAJE;Alta patrimonial;;COMPRAVENTA;1803.04
1002055;PUERTA DEL PERDON;"HERNANDEZ CARPE, ANTONIO";;0;39;49;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;1502.53
1002056;PIGMENTOS;"GARCIA SILVA, FRANCISCO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;3005.06
1002057;PUERTA III;"CANO HERNANDEZ, PEDRO";;0;150;215;;PINTURA;LIENZO;TECNICA MIXTA;PAISAJE;Alta patrimonial;;COMPRAVENTA;15025.30
1002058;SIN TITULO;"PARRA, NICOLAS";01.01.1989;0;105.5;130;;PINTURA;TELA;ACRILICO;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002059;SIN TITULO;"PARRA, NICOLAS";01.01.1989;0;130;130;;PINTURA;TELA;ACRILICO;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002060;TU MISMO;"HARO, ANGEL";;0;0;0;;PINTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002061;SIN TITULO;"CHARRIS, ANGEL MATEO";;0;0;0;;PINTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002062;PERRO;"CEBALLOS, TOMY";01.01.1991;0;120.5;10;;FOTOGRAFIA;PAPEL;OTROS;ALEGORICA;Alta patrimonial;;COMPRAVENTA;901.52
1002063;MEMORIAL DOOR I;"MARQUEZ, PABLO";01.01.1990;0;100;220;;PINTURA;ALUMINIO;TECNICA MIXTA;;Alta patrimonial;;COMPRAVENTA;1803.04
1002064;MEMORIAL DOOR II;"MARQUEZ, PABLO";01.01.1990;0;100;220;;PINTURA;METAL;TECNICA MIXTA;;Alta patrimonial;;COMPRAVENTA;1803.04
1002065;PERSONAJE I;MARTINEZ LAX;;0;0;0;;ESCULTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002066;PERSONAJE;MARTINEZ LAX;;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;1803.04
1002067;BA�ISTA;MARTINEZ LAX;01.01.1990;13.5;30;20;;ESCULTURA;MARMOL;BARRO;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;2103.54
1002068;SIN TITULO;"NIETO, ENRIQUE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;480.81
1002069;(AMANECER) PAISAJE DEL MAR MENOR;"NIETO, ENRIQUE";01.01.1990;0;81;65;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;1292.18
1002070;MADONNA;"NIETO, ENRIQUE";01.01.1990;73;92;0;;PINTURA;LIENZO;OLEO;COMPOSICION;Alta patrimonial;;COMPRAVENTA;1292.18
1002071;PORSCHE 956 CON FIGURAS;"BALLESTER, ANTONIO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;9015.18
1002072;UNA CENA CON...;"PARRA, LEANDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;2253.80
1002073;LA EDAD POSIBLE;"CEREZO MONTILLA, FRANCISCO";01.01.1989;0;97;129;;PINTURA;LIENZO;OLEO;;Alta patrimonial;;COMPRAVENTA;1051.77
1002074;SIN TITULO;ANONIMO;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;0.00
1002075;LA GACETA DEL ETNA;"CHARRIS, ANGEL MATEO";;0;200;150;;PINTURA;LIENZO;OLEO;COMPOSICION;Alta patrimonial;;COMPRAVENTA;3005.06
1002076;SIN TITULO;"TAPIES, ANTONI";;0;55.3;75;;OBRA GRAFICA;PAPEL;OTROS;;Alta patrimonial;;COMPRAVENTA;1051.77
1002077;SIN TITULO;ARROYO;01.01.1987;0;55.3;75;;OBRA GRAFICA;PAPEL;OTROS;SIMBOLICO;Alta patrimonial;;COMPRAVENTA;420.71
1002078;SIN TITULO;"SAURA, ANTONIO";;0;75;54.5;;OBRA GRAFICA;PAPEL;;;Alta patrimonial;;COMPRAVENTA;450.76
1002079;BODEGON;CANOVAS;;0;66;44;;PINTURA;PAPEL;PASTEL;BODEGON;Alta patrimonial;;COMPRAVENTA;510.86
1002080;SIN TITULO;"BARNUEVO, MANUEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;210.35
1002081;SIN TITULO;DESCONOCIDO;;0;37.55;53.5;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;0.00
1002082;PUERTO LUMBRERAS;"GOMEZ CANO, CARLOS";01.01.1978;0;72;64;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;1202.02
1002083;PAISAJE URBANO;"PARDO, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;901.52
1002084;GRABADO SIGLO XIX;HAIG.A.H.;;0;0;0;;GRABADO;;;;Alta patrimonial;;COMPRAVENTA;270.46
1002085;EL COSMOS;GUIRAO;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;360.61
1002086;SIN TITULO;GUIRAO;;0;22;123;;ESCULTURA;MARMOL;BRONCE;;Alta patrimonial;;COMPRAVENTA;1803.04
1002087;SIN TITULO;DESCONOCIDO;;22;35;30;;PINTURA;ESCAYOLA;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;601.01
1002088;TAXIDERMIA;"LINARES, ESTEBAN";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1352.28
1002089;SIN TITULO;"GARCIA SILVA, FRANCISCO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;781.32
1002090;SIN TITULO;BARBA;01.01.1986;0;221.5;146;;PINTURA;MADERA;OTROS;COMPOSICION;Alta patrimonial;;COMPRAVENTA;601.01
1002091;PUENTE VIEJO;"CEREZO, ZACARIAS";01.01.1986;0;30.5;24;;PINTURA;PAPEL;ACUARELA;COSTUMBRISMO;Alta patrimonial;;COMPRAVENTA;180.30
1002092;LA CATEDRAL VISTA DESDE EL MALECON;"CEREZO, ZACARIAS";01.01.1986;0;30;24;;PINTURA;PAPEL;ACUARELA;COSTUMBRISMO;Alta patrimonial;;COMPRAVENTA;180.30
1002093;LA RUEDA;"CEREZO, ZACARIAS";01.01.1986;0;34;44;;PINTURA;PAPEL;ACUARELA;;Alta patrimonial;;COMPRAVENTA;210.35
1002094;VIRGEN DE LOS PELIGROS;"CEREZO, ZACARIAS";01.01.1986;0;32;40;;PINTURA;PAPEL;TINTA;COSTUMBRISMO;Alta patrimonial;;COMPRAVENTA;210.35
1002095;COBIJO;"HERNANSAEZ DE DIOS, ANGEL";01.01.1990;24;20;30;;PINTURA;PIEDRA;BRONCE;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1803.04
1002096;PAISAJE DE INVIERNO;"HERNANSAEZ DE DIOS, ANGEL";01.01.1990;0;68;48.5;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;1202.02
1002097;EL SOL EN CENTRAL PARK STOUTH;"CHARRIS, ANGEL MATEO";01.01.1990;0;14.5;62.5;;PINTURA;MADERA;ACRILICO;;Alta patrimonial;;COMPRAVENTA;1202.02
1002098;MOTOR PORSCHE 928;"BALLESTER, ANTONIO";01.01.1990;0;192;164;;PINTURA;ACUARELA;CARBONCILLO;;Alta patrimonial;;COMPRAVENTA;0.00
1002099;BRUJA II (GOLPE FISICO);"CEBALLOS, TOMY";01.01.1990;0;203;156;;FOTOGRAFIA;PAPEL;OTROS;;Alta patrimonial;;COMPRAVENTA;0.00
1002100;SIN TITULO;"HARO, ANGEL";01.01.1988;0;260;195;;PINTURA;LIENZO;OTROS;PAISAJE;Alta patrimonial;;COMPRAVENTA;2404.05
1002101;SIN TITULO;"STILES, PAUL";01.01.1990;0;64;24;;PINTURA;PAPEL;TECNICA MIXTA;;Baja;;COMPRAVENTA;0.00
1002102;SIN TITULO;"STILES, PAUL";05.08.1990;0;64;24;;PINTURA;PAPEL;TECNICA MIXTA;;Baja;;COMPRAVENTA;0.00
1002103;SIN TITULO;"STILES, PAUL";01.01.1990;0;65;24;;PINTURA;PAPEL;TECNICA MIXTA;;Baja;;COMPRAVENTA;0.00
1002104;SIN TITULO;"FERNANDEZ SAURA, ANGEL";;0;0;0;;PINTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002105;SIN TITULO;"FERNANDEZ SAURA, ANGEL";01.01.1998;0;56;42;;FOTOGRAFIA;PAPEL;OTROS;RETRATO;Alta patrimonial;;COMPRAVENTA;450.76
1002106;SIN TITULO;"FERNANDEZ SAURA, ANGEL";01.01.1988;0;56;42;;FOTOGRAFIA;PAPEL;OTROS;RETRATO;Alta patrimonial;;COMPRAVENTA;450.76
1002107;LA CASA DE LA CALLE 10;"FERNANDEZ SAURA, ANGEL";01.01.1988;0;25;18;;PINTURA;PAPEL;OTROS;COSTUMBRISMO;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002108;SIN TITULO;"FERNANDEZ SAURA, ANGEL";01.01.1988;0;56.5;42;;FOTOGRAFIA;PAPEL;OTROS;RETRATO;Alta patrimonial;;COMPRAVENTA;450.76
1002109;DESAYUNO EN LA CALLE 10;"FERNANDEZ SAURA, ANGEL";;0;0;0;;PINTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002110;VIDA D� INES DE CASTRO (13-FEBRERO-1863);"PEREIRA, M.C.A.";;0;0;0;;TAPIZ;;;;Alta patrimonial;;COMPRAVENTA;1202.02
1002111;VIDA DE D� INES DE CASTRO (21-DIC.-1863);"PEREIRA, M.C.A.";;0;0;0;;TAPIZ;;;;Alta patrimonial;;COMPRAVENTA;1202.02
1002112;ANGELES;"NIETO, ENRIQUE";01.01.1990;0;73;92;;PINTURA;LIENZO;OLEO;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1502.53
1002113;MAR MENOR;"NIETO, ENRIQUE";01.01.2000;0;81;65;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;1051.77
1002114;COSTURERAS II;"REYES GUILLEN, J.";01.01.1952;0;24;32;;PINTURA;PAPEL;ACUARELA;COSTUMBRISMO;Alta patrimonial;;COMPRAVENTA;210.35
1002115;NOCTURNO;"NIETO, ENRIQUE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1502.53
1002116;CABO DE PALOS;"NIETO, ENRIQUE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1051.77
1002117;BALNEARIO;"VALENCIANO, CARLOS";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;300.51
1002118;DESGUACE;"PARDO, PEDRO";;0;0;0;;GRABADO;;;;Alta patrimonial;;COMPRAVENTA;570.96
1002119;MAR MENOR;"NIETO, ENRIQUE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;2404.05
1002120;BANCO S. XVII;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;871.47
1002121;SILLON DE ROBLE S. XIX;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;495.83
1002122;SILLON S. XIX;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;495.83
1002123;ENTREDOS 1661 Y 1707;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;961.62
1002124;JOVEN CON TURBANTE;ANONIMO;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;480.81
1002125;ESCENA MILITAR S. XVIII (GRABADO);ANONIMO;;0;0;0;;GRABADO;;;;Alta patrimonial;;COMPRAVENTA;270.46
1002126;ESCENA FAMILIAR (GRABADO);ANONIMO;;0;0;0;;GRABADO;;;;Alta patrimonial;;COMPRAVENTA;180.30
1002127;SIN TITULO;"BALLESTER NAVARRO, MARIANO";01.01.1965;0;212;246;;MOSAICO;;MARMOL;COMPOSICION;Alta patrimonial;;COMPRAVENTA;21035.42
1002128;PAISAJE;MARTINEZ LOZANO;;0;0;0;;PINTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002129;AUTORETRATO - REVERSO DE ARLEQUIN;"PINA NORTES, �NGEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;601.01
1002130;PAISAJE;"VALENCIANO, CARLOS";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;480.81
1002131;SIN TITULO;ANONIMO;01.01.1700;0;41;55;;PINTURA;LIENZO;OLEO;RETRATO;Alta patrimonial;;COMPRAVENTA;751.27
1002132;SIN TITULO;ANONIMO;01.01.1700;0;41;55;;PINTURA;OLEO;LIENZO;RETRATO;Alta patrimonial;;COMPRAVENTA;751.27
1002133;BANCO DE MADERA DE ROBLE SIGLO XVII;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;1442.43
1002134;BANCO DE MADERA DE ROBLE SIGLO XVIII;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;1442.43
1002135;HOMENAJE A TIZIANO DE LA PRIMERA EPOCA;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;18030.36
1002136;"HOMENAJE A PICASSO ""LA SALCHICHONA""";"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;15025.30
1002137;EL ABANICO ROJO;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;18030.36
1002138;HOMENAJE A LA NOVIA JUDIA;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;24040.48
1002139;LOS JAZMINES SOBRE EL PIANO;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;18030.36
1002140;HOMENAJE A VINCENT;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;13222.27
1002141;EL MAR;"AVELLANEDA, MANUEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;7212.15
1002142;ESTUDIOS CON PAN DE ORO EN GEOMET.III;GARCIA JIMENEZ. JUAN E.;01.01.1988;0;47;64;;PINTURA;PAPEL;OTROS;;Alta patrimonial;;COMPRAVENTA;300.51
1002143;ESTUDIOS CON PAN DE ORO EN GEOMET.IV;GARCIA JIMENEZ. JUAN E.;01.01.1988;0;47;64;;PINTURA;PAPEL;OTROS;;Alta patrimonial;;COMPRAVENTA;90.15
1002144;TIERRAS DE MURCIA;"AVELLANEDA, MANUEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;390.66
1002145;EL DESCANSO;RUBIO PACHEO;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;210.35
1002146;MUJER;"SASTRE, ADELA";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;961.62
1002147;CHARCAS DE SAN PEDRO DEL PINATAR;CANOVAS;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;480.81
1002148;SIN TITULO;"RUIZ, MANUEL L.(LOLO)";01.01.1989;0;130;195;;PINTURA;LIENZO;OTROS;;Alta patrimonial;;COMPRAVENTA;1202.02
1002149;MUJER CON NI�OZ Y PERROS;GARCIA A.;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1502.53
1002150;ESCENA DE PESCADORES;ANONIMO;;0;54;63;;PINTURA;LIENZO;OLEO;;Alta patrimonial;;COMPRAVENTA;2704.55
1002151;DONA DE MULAS EN EL ALHAMABRA PALACE;ANONIMO;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;60.10
1002152;ESCENA BIBLICA CON MOISES;ANONIMO;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;102.17
1002153;LUISA MILLER;ANONIMO;;0;0;0;;GRABADO;;;;Alta patrimonial;;COMPRAVENTA;90.15
1002154;RIGOLETTO;"BRANDARD, J.";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;90.15
1002155;LA MANGA;"ALONSO LUZZY, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;901.52
1002156;ARMADIO;"CANO HERNANDEZ, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;15025.30
1002157;CUERPOS: FIGURA DISTESA IN ROSSO;"CANO HERNANDEZ, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;15025.30
1002158;RECUERDO A LA LOCOMOTORA DE VAPOR;HIDALGO DE CISNEROS;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;360.61
1002159;VIDA D� INES DE CASTRO (23-MARZO-1863);"PEREIRA, M.C.A.";;0;0;0;;TAPIZ;;;;Alta patrimonial;;COMPRAVENTA;1202.02
1002167;CAJA CON PATAS TORCIDAS PARA SERPENTINA;GONZALEZ RAMON;;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;1202.02
1002169;SIN TITULO;"GOMEZ-OSUNA, MONSERRAT";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;1803.04
1002170;ESFINGE;"GARCIA SILVA, FRANCISCO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1803.04
1002171;LO MECANICO EN LA NATURALEZA;"MARQUEZ, PABLO";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;1803.04
1002172;PAISAJE ANEGADO;"LINARES, ESTEBAN";;0;195;103;;PINTURA;;TECNICA MIXTA;COMPOSICION;Alta patrimonial;;COMPRAVENTA;3005.06
1002173;UN DOMINGO;"CAUBIOS, PIERRE";01.01.1989;0;195;130;;PINTURA;LIENZO;OTROS;PAISAJE;Alta patrimonial;;COMPRAVENTA;2404.05
1002174;SIN TITULO;MURADO;01.01.1989;0;199.5;179;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;2404.05
1002175;GLOSARIO 1;"CASCAJOSA ARROYO, ENRIQUE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1502.53
1002176;TODO FLUYE;"GARCIA ASENJO, PALOMA";;0;0;0;;PINTURA;;;;Adscrito patrimonial;SERVICIO MURCIANO DE SALUD;COMPRAVENTA;0.00
1002177;CAUCHO;"GALINDO, JORGE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;2704.55
1002178;PISCINA SIN PALMERAS PERO CON SIMBOLO CA;SATRUSTEGUI ZAPATERO;01.01.1989;0;260;1915;;PINTURA;LIENZO;OTROS;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;3606.07
1002179;SIN TITULO;BALLESTER PINILLOS;;0;72.5;55;;PINTURA;MADERA;TECNICA MIXTA;PAISAJE;Alta patrimonial;;COMPRAVENTA;13823.28
1002180;O-I-R-I-S (DADIVA);"FERNANDEZ DE MOYA, DIEGO";;0;200;190;;PINTURA;;OTROS;;Alta patrimonial;;COMPRAVENTA;3906.58
1002181;"II HOMENAJE A REMBRANDT ""DIBUJO Y COPA""";"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;12020.24
1002182;III HOMENAJE A MURILLO;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;18030.36
1002183;MANO DE MARIANA DE AUSTRIA DETRAS DE COP;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;12020.24
1002184;HOMENAJE A UN DIBUJO DE TIZIANO;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;12020.24
1002185;BOCETO PARA UN HOMENAJE A CARPACCIO;"GAYA, RAMON";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;13222.27
1002186;AMELE-4 (GOLPE DE FUERZA);"CORONADO, MANUEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1502.53
1002187;LA ISLA DE SANTA ELENA DURANTE LA CAMPA�;ANONIMO;;0;0;0;;GRABADO;;;;Alta patrimonial;;COMPRAVENTA;90.15
1002188;EL CABO DE BUENA ESPERANZA;ANONIMO;;0;0;0;;GRABADO;;;;Alta patrimonial;;COMPRAVENTA;90.15
1002189;PERSPECTIVA DE LA PLAZA REAL DE BURDEOS;ANONIMO;;0;0;0;;GRABADO;;;;Alta patrimonial;;COMPRAVENTA;90.15
1002194;DENTRO Y FUERA;"MONEREO, CHELETE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1502.53
1002195;BEREBER;"RUIZ, VICENTE";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;3005.06
1002196;VENTANA CON MANZANA;"BALLESTER, ANTONIO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;601.01
1002197;CRISTO YACENTE;"AYALA, DIEGO DE";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;60101.21
1002198;SIN TITULO;"BARNUEVO, MANUEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1803.04
