nombre_autor
"PARDO, PEDRO"
GUIRAO
BARBA
"CEREZO, ZACARIAS"
"PEREIRA, M.C.A."
"REYES GUILLEN, J."
"VALENCIANO, CARLOS"
MARTINEZ LOZANO
GARCIA JIMENEZ. JUAN E.
RUBIO PACHEO
"RUIZ, MANUEL L.(LOLO)"
GARCIA A.
"BRANDARD, J."
HIDALGO DE CISNEROS
GONZALEZ RAMON
"GOMEZ-OSUNA, MONSERRAT"
"CAUBIOS, PIERRE"
MURADO
"GARCIA ASENJO, PALOMA"
"GALINDO, JORGE"
SATRUSTEGUI ZAPATERO
BALLESTER PINILLOS
"FERNANDEZ DE MOYA, DIEGO"
"AYALA, DIEGO DE"
"ALMANSA, NICOLAS"
HERNANDEZ CANO
"ROBLES LOPEZ, JOSE MARIA"
"ARAEZ, MONTSE"
"SAURA MIRA, FULGENCIO"
"DIS BERLIN CARRERA, MARIANO"
"INSERTIS, PILAR"
"ISIDRO NORIEGA,JUAN FRANCISCO"
"NAVARRO BALDEWEG, JUAN"
PATI�O ANTON
PRADAS CHARO
"UGALDE DIEZ, JUAN"
"VAZQUEZ, XEXUS"
"VON BERNER, DARYA"
"WHISHAW, ANTHONY"
"MURIEDAS MAZORRA, JOSE"
"PUJANTE, MA. ROSA"
"ROS, ANTONIO"
"SALZILLO, FRANCISCO"
TALLER DE SALZILLO
"SEIQUER, ELISA"
SEIQUER ZENON
"SISTORI, PABLO"
"TOLEDO SANCHEZ, FRANCISCO"
"TOLEDO, J."
VILLAESCUSA A.
CANCIO
"GONZALEZ MARCO,JOSE"
"MARTINEZ, ANASTASIO"
MARTINEZ REINA
"MOLERA, JOSE"
"MORENO CASCALES, JOSE"
"MORENO MORVIEDRO, ELOY"
"MARTINEZ MANZANO, ANTONIO"
"MORENO SANDOVAL, CEFERINO"
"ARDIL PAGAN, MANUEL"
"BELTRAN, DOMINGO"
"BOLARIN, LUIS"
"CARRILERO, JOSE"
"CARRION VALVERDE, ANTONIO"
"GARCIA MENGUAL, JOSE"
CAMPILLO CARCELES
"GARRIGOS, ANTONIO"
"GIMENEZ CARRAMI�ANA, SARA"
PEYROT
PONTONES
"PORTELA, FRANCISCO"
"PRIETO, GREGORIO"
"PUCH ORTA, GONZALO"
"PUCHE, AMADOR"
"QUEJIDO, MANUEL"
MIGUEL ANGEL R.
RAMIREZ
RENTERO M.
"BLAS, J.T. DE"
VAN DEN BULLKEN
YES CAMACHO
"PASCUAL, J."
"PASCUAL Y WALLS, JOSE"
"PASTOR ORTEGA, JOSE MIGUEL"
"PASTOR, LUIS"
"BENEDI, OSCAR"
"BLAYA, TERESA"
"BRULL, JAIME"
MARTINEZ JADRAQUE
NAVARRO MU�OZ
"NICOLAS, ANTONIO"
OBON BUJ
"ORTU�O, JUAN"
PAREDES
"ESTEBAN NURILLO, BARTOLOME"
"BARBERA ZAMORA, JUAN"
"LORENTE, PEDRO"
"VALVERDE CANOVAS, MIGUEL"
"LOZANO, JOSE ANTONIO"
LUIS MANUEL
"MARQUEZ HERNANDEZ, RAFAEL"
"MARTINEZ, JOSE RAMON"
MARTINEZ CANO
"MARTINEZ F., ANGEL"
"IZMA, J."
"JARA NAVARRO, TRINIDAD"
"JIRO, JOSE MARIA"
"LAORDEN, ANTONIO"
"LAPAYESE DEL RIO, JOSE"
LEAL D.
LEGAZ
"BANET, CANDIDO"
BALIBREA
"VALBUENA BRIONES, MANUEL"
"FRANCO, ALEJANDRO"
"VALDES LEAL, JUAN"
"HERREROS TERRAZ, RAMON"
"VALERO MORENO, JOSE"
"DE LA TORRE, ANTONIO"
TORRENTBO
TORRES BRU
"SANCHEZ AZPARREN, J.L."
NAVARRETE
J.H.
HERNANDEZ A.
"HERNANDEZ AMORES, GERMAN"
TOMAS. A.
"ARRIAGA, ESTEBAN"
"GRAU BERNARDO, CARMEN"
"TORRALBA, JESUALDO"
"GRAU, JAVIER"
GONZALEZ DE LA ALEJA
"MESEGUER ALCARAZ, ANTONIO"
"MIRALLES, OBDULIO"
RUIZ GARCIA-TREJO
GARDALEZ
ARANDA BOSCH
"ARMAND RUIZ, L."
"GODINEZ, A."
"GOMEZ, T."
"ARMI�ANA, VICENTE"
SERNA PEDRO FRANCISCO
"GARAY GARCIA, LUIS"
"GARCIA CALVO, JUAN"
"SZODY, L."
DE TOLEDO
"GARCIA PANADERO, MANUEL"
TOLEDO PUCHE
"SEGURA CLEMENTE, MANUEL"
OLIVARES. J
"SAURA PACHECO, FULGENCIO"
FAVA
