,nombre_autor
794,"VALVERDE CANOVAS, MIGUEL"
795,"JARA NAVARRO, TRINIDAD"
796,"VALVERDE CANOVAS, MIGUEL"
797,"JIMENEZ ASENSIO, JUAN"
798,"VALVERDE CANOVAS, MIGUEL"
799,"JIMENEZ ASENSIO, JUAN"
800,"BALLESTER NAVARRO, MARIANO"
801,"JIRO, JOSE MARIA"
802,"LAORDEN, ANTONIO"
803,"LAPAYESE DEL RIO, JOSE"
804,LEAL D.
805,"VALVERDE CANOVAS, MIGUEL"
806,"BALLESTER NAVARRO, MARIANO"
807,LEGAZ
808,"VALVERDE CANOVAS, MIGUEL"
809,LEGAZ
810,"BALLESTER NAVARRO, MARIANO"
811,"LINARES, ESTEBAN"
812,"BANET, CANDIDO"
813,DESCONOCIDO
814,"TRENADO, CARMELO"
815,"HERNANDEZ CARPE, ANTONIO"
816,BALIBREA
817,"HERNANDEZ CARPE, ANTONIO"
818,"HERNANDEZ CARPE, ANTONIO"
819,"VALBUENA BRIONES, MANUEL"
820,"HERNANDEZ CARPE, ANTONIO"
821,"VALBUENA BRIONES, MANUEL"
822,"FRANCO, ALEJANDRO"
823,"HERNANSAEZ DE DIOS, ANGEL"
824,"HERNANSAEZ DE DIOS, ANGEL"
825,"VALDES LEAL, JUAN"
826,"BALLESTER, ANTONIO"
827,"HERNANSAEZ DE DIOS, ANGEL"
828,"VALDES LEAL, JUAN"
829,"VALENCIANO, CARLOS"
830,"HERREROS TERRAZ, RAMON"
831,"VALERO MORENO, JOSE"
832,HIDALGO DE CISNEROS
833,"VALVERDE CANOVAS, MIGUEL"
834,"BALLESTER NAVARRO, MARIANO"
835,"ARTIGAS GUILLAMON ,CARMEN"
836,"HERNANDEZ CARPE, ANTONIO"
837,"FLORES, PEDRO"
838,"HERNANDEZ CARPE, ANTONIO"
839,"ARTIGAS GUILLAMON ,CARMEN"
840,"FLORES, PEDRO"
841,"FLORES, PEDRO"
842,"HERNANDEZ CARPE, ANTONIO"
843,"ARTIGAS GUILLAMON ,CARMEN"
844,"FLORES, PEDRO"
845,"HERNANDEZ CARPE, ANTONIO"
846,"FLORES, PEDRO"
847,"HERNANDEZ CARPE, ANTONIO"
848,"AVELLANEDA, MANUEL"
849,"DE LA TORRE, ANTONIO"
850,"HERNANDEZ CARPE, ANTONIO"
851,TORRENTBO
852,"HERNANDEZ CARPE, ANTONIO"
853,"AVELLANEDA, MANUEL"
854,TORRES BRU
855,"TRENADO, CARMELO"
856,"HERNANDEZ CARPE, ANTONIO"
857,"SANCHEZ AZPARREN, J.L."
858,"MU�OZ BARBERAN, MANUEL"
859,"MU�OZ BARBERAN, MANUEL"
860,"MU�OZ BARBERAN, MANUEL"
861,"MU�OZ BARBERAN, MANUEL"
862,"MU�OZ BARBERAN, MANUEL"
863,NAVARRETE
864,J.H.
865,HERNANDEZ A.
866,"FLORES, PEDRO"
867,"HERNANDEZ AMORES, GERMAN"
868,"ARTIGAS GUILLAMON ,CARMEN"
869,"HERNANDEZ CARPE, ANTONIO"
870,"FLORES, PEDRO"
871,"ARTIGAS GUILLAMON ,CARMEN"
872,"FLORES, PEDRO"
873,"ARTIGAS GUILLAMON ,CARMEN"
874,"ARTIGAS GUILLAMON ,CARMEN"
875,"FLORES, PEDRO"
876,"FLORES, PEDRO"
877,"HERNANDEZ CARPE, ANTONIO"
878,"FLORES, PEDRO"
879,"ARTIGAS GUILLAMON ,CARMEN"
880,"FLORES, PEDRO"
881,TOMAS. A.
882,"FLORES, PEDRO"
883,"ARRIAGA, ESTEBAN"
884,"GRAU BERNARDO, CARMEN"
885,"TORRALBA, JESUALDO"
886,"ARTIGAS GUILLAMON ,CARMEN"
887,"FLORES, PEDRO"
888,"GRAU, JAVIER"
889,"ARTIGAS GUILLAMON ,CARMEN"
890,"FLORES, PEDRO"
891,GONZALEZ DE LA ALEJA
892,"FLORES, PEDRO"
893,"MESEGUER ALCARAZ, ANTONIO"
894,"MIRALLES, OBDULIO"
895,"MOLINA SANCHEZ, JOSE ANTONIO"
896,"MOLINA SANCHEZ, JOSE ANTONIO"
897,"MORALES, SOFIA"
898,"MORALES, SOFIA"
899,"MORENO SANDOVAL, CEFERINO"
900,"MU�OZ BARBERAN, MANUEL"
901,"MU�OZ BARBERAN, MANUEL"
902,"FLORES, PEDRO"
903,"GARCIA SILVA, FRANCISCO"
904,RUIZ GARCIA-TREJO
905,DESCONOCIDO
906,RUIZ GARCIA-TREJO
907,"FLORES, PEDRO"
908,GARDALEZ
909,ARANDA BOSCH
910,"GARZA,RAMON"
911,"GARZA,RAMON"
912,"ARMAND RUIZ, L."
913,"FLORES, PEDRO"
914,"GODINEZ, A."
915,"ARMAND RUIZ, L."
916,"FLORES, PEDRO"
917,"GOMEZ, T."
918,"GOMEZ CANO, ANTONIO"
919,"FLORES, PEDRO"
920,"GOMEZ CANO, ANTONIO"
921,"ARMI�ANA, VICENTE"
922,TOMAS. A.
923,"ARMI�ANA, VICENTE"
924,"FLORES, PEDRO"
925,SERNA PEDRO FRANCISCO
926,"FLORES, PEDRO"
927,"FLORES, PEDRO"
928,"GARAY GARCIA, LUIS"
929,"SERNA VERDU, PEDRO"
930,"GARAY GARCIA, LUIS"
931,SERNA PEDRO FRANCISCO
932,SERNA PEDRO FRANCISCO
933,"GARCIA CALVO, JUAN"
934,"GARCIA CALVO, JUAN"
935,"SZODY, L."
936,"TAPIES, ANTONI"
937,"GARCIA FERNANDEZ, JOAQUIN"
938,"FLORES, PEDRO"
939,"GARCIA FERNANDEZ, JOAQUIN"
940,"FLORES, PEDRO"
941,DE TOLEDO
942,"FLORES, PEDRO"
943,"GARCIA PANADERO, MANUEL"
944,DE TOLEDO
945,DESCONOCIDO
946,"FLORES, PEDRO"
947,TOLEDO PUCHE
948,"FALGAS RIGAL, JOSE MARIA"
949,"SAURA MIRA, FULGENCIO"
950,DESCONOCIDO
951,"SAURA MIRA, FULGENCIO"
952,"FALGAS RIGAL, JOSE MARIA"
953,"FALGAS RIGAL, JOSE MARIA"
954,"SEGURA CLEMENTE, MANUEL"
955,OLIVARES. J
956,"FALGAS RIGAL, JOSE MARIA"
957,"FALGAS RIGAL, JOSE MARIA"
958,"FALGAS RIGAL, JOSE MARIA"
959,DESCONOCIDO
960,"FALGAS RIGAL, JOSE MARIA"
961,"FALGAS RIGAL, JOSE MARIA"
962,DESCONOCIDO
963,"SAURA PACHECO, FULGENCIO"
964,"FALGAS RIGAL, JOSE MARIA"
965,"FALGAS RIGAL, JOSE MARIA"
966,FAVA
967,"FITZ-JAMES STUART, CAYETANA"
968,"FLORES, PEDRO"
969,"FLORES, PEDRO"
970,"SEIQUER, ALEJANDRO"
971,"FLORES, PEDRO"
972,"GALINDO, JOSE LUIS"
973,"GARCIA CARMONA, MIGUEL"
974,SENEN VILA
975,"GALIZA, RAMON"
976,GALLEGO
977,DESCONOCIDO
978,"ESCORIAL, CARMEN"
979,SENEN VILA
980,"GARAY GARCIA, LUIS"
981,DESCONOCIDO
982,"FALGAS RIGAL, JOSE MARIA"
983,"FALGAS RIGAL, JOSE MARIA"
984,"FALGAS RIGAL, JOSE MARIA"
985,"RUIPEREZ, LUIS"
986,"FALGAS RIGAL, JOSE MARIA"
987,"FALGAS RIGAL, JOSE MARIA"
988,"SANCHEZ PICAZO, PEDRO"
989,"FALGAS RIGAL, JOSE MARIA"
990,"FALGAS RIGAL, JOSE MARIA"
991,"SANCHEZ PICAZO, PEDRO"
992,"FALGAS RIGAL, JOSE MARIA"
993,"SANZ FARGAS, J."
994,"FALGAS RIGAL, JOSE MARIA"
995,"SAURA MIRA, FULGENCIO"
996,"DIAZ BAUTISTA, ANTONIO"
997,DESCONOCIDO
998,"SEGURA CLEMENTE, MANUEL"
999,"FLORES, PEDRO"
1000,DIAZ PADILLA
1001,"SEGURA CLEMENTE, MANUEL"
1002,"SEGURA CLEMENTE, MANUEL"
1003,"FLORES, PEDRO"
1004,DESCONOCIDO
1005,"VERA, J."
1006,"FLORES, PEDRO"
1007,"DUARTE, GUILLERMO"
1008,"FLORES, PEDRO"
1009,DESCONOCIDO
1010,"FLORES, PEDRO"
1011,"DUARTE, GUILLERMO"
1012,"FLORES, PEDRO"
1013,"DUARTE, GUILLERMO"
1014,"FRANCO, ALEJANDRO"
1015,"FUENTES, LUIS"
1016,DESCONOCIDO
1017,SENEN VILA
1018,"FUENTES, LUIS"
1019,"SANZ FARGAS, J."
1020,SARTELLA
1021,"SAURA MIRA, FULGENCIO"
1022,"VALVERDE CANOVAS, MIGUEL"
1023,"SAURA MIRA, FULGENCIO"
1024,DESCONOCIDO
1025,"SAURA MIRA, FULGENCIO"
1026,"SAURA PACHECO, FULGENCIO"
1027,"VALVERDE CANOVAS, MIGUEL"
1028,"FLORES, PEDRO"
1029,DESCONOCIDO
1030,"SAURA PACHECO, FULGENCIO"
1031,"VALVERDE CANOVAS, MIGUEL"
1032,"FLORES, PEDRO"
1033,CHIPIOLA
1034,DESCONOCIDO
1035,"SAURA PACHECO, FULGENCIO"
1036,"FLORES, PEDRO"
1037,"SAURA MIRA, FULGENCIO"
1038,"CIRICI PELLICER, MARIA"
1039,DESCONOCIDO
1040,"SAURA PACHECO, FULGENCIO"
1041,"FLORES, PEDRO"
1042,"CONEJO, ANDRES"
1043,"ALMELA COSTA, JOSE MARIA"
1044,DELGADO
1045,"ROMERA NAVARRO, MARCOS SALVADO"
1046,SANCHEZ M.
1047,DELGADO
1048,"VALVERDE CANOVAS, MIGUEL"
1049,"ALMELA COSTA, JOSE MARIA"
1050,SANCHEZ M.
1051,"ALMELA COSTA, JOSE MARIA"
1052,"SANCHEZ AZPARREN, J.L."
1053,"SANCHEZ AZPARREN, J.L."
1054,"ALMELA COSTA, JOSE MARIA"
1055,"SANCHEZ AZPARREN, J.L."
1056,"ALMELA COSTA, JOSE MARIA"
1057,"VALVERDE CANOVAS, MIGUEL"
1058,"ALONSO LUZZY, RAMON"
1059,SANCHEZ MORATINOS
1060,"ALONSO LUZZY, RAMON"
1061,"SANCHEZ PICAZO, PEDRO"
1062,SANJO
1063,SANJO
1064,"ALONSO LUZZY, RAMON"
1065,"CANO HERNANDEZ, PEDRO"
1066,RICO LOPEZ
1067,DESCONOCIDO
1068,BURGUE�O
1069,"MOLINA SANCHEZ, LUIS"
1070,"MOLINA SANCHEZ, LUIS"
1071,"MORENO FERRER, FELICIDAD"
1072,"MACIAS, LUIS"
1073,"COLLINS, HANNAH"
1074,"MUNIATEGIANDIKOETXEA MARKIEGI,"
1075,"GARCIA, CONCHA"
1076,ORIOL VILLAPUIG
1077,"TORMO FERNANDEZ, AMPARO"
1078,"CARRA, ADRIAN"
1079,"SICRE MAQUEDA, GONZALO"
1080,"DELGADO GIL-BERMEJO, JOSE MARI"
1081,"PUCH ORTA, GONZALO"
1082,"ROJAS PEINADO, ANTONIO"
1083,"PAGOLA MARIN,JAVIER"
1084,"VARAS ALVAREZ, JORGE"
1085,"PEREZ CEBRIAN, TERESA"
1086,"SUAREZ, LORENZO"
1087,"SUAREZ, LORENZO"
1088,"NIETO, ENRIQUE"
1089,"D�EZ DE REVENGA, TOM�S"
1090,"FLORES, PEDRO"
1091,"FLORES, PEDRO"
1092,"FLORES, PEDRO"
1093,"FLORES, PEDRO"
1094,"FLORES, PEDRO"
1095,"EDUARDO, VICENTE"
1096,"EDUARDO, VICENTE"
1097,"LOPEZ GARCIA-VASO, JOSE BLAS"
1098,DESCONOCIDO
1099,DESCONOCIDO
1100,OO
1101,OO
1102,OO
1103,OO
1104,"POZO, ANTONIO"
1105,"FLORES, PEDRO"
1106,OO
1107,"LOPEZ GULLON, AMANDO"
1108,"DIAZ BAUTISTA, ANTONIO"
1109,OO
1110,"LOPEZ GARCIA-VASO, JOSE BLAS"
1111,SALINAS CORREAS
1112,"GONZALEZ BELTRAN, MARIANO"
1113,"GONZALEZ MARCO,JOSE"
1114,"FRANCO, FRANCIS"
1115,"BOVET, MATEO"
1116,"BOVET, MATEO"
1117,"BOVET, MATEO"
1118,"BOVET, MATEO"
1119,"BOVET, MATEO"
1120,"BOVET, MATEO"
1121,"BOVET, MATEO"
1122,"BOVET, MATEO"
1123,"BOVET, MATEO"
1124,"BOVET, MATEO"
1125,"BOVET, MATEO"
1126,"BOVET, MATEO"
1127,"BOVET, MATEO"
1128,"BOVET, MATEO"
1129,"BOVET, MATEO"
1130,"BOVET, MATEO"
1131,"BOVET, MATEO"
1132,"BOVET, MATEO"
1133,"BOVET, MATEO"
1134,"BOVET, MATEO"
1135,"BOVET, MATEO"
1136,"BOVET, MATEO"
1137,"BOVET, MATEO"
1138,"BOVET, MATEO"
1139,"BOVET, MATEO"
1140,"BOVET, MATEO"
1141,"BOVET, MATEO"
1142,"BOVET, MATEO"
1143,"BOVET, MATEO"
1144,"BOVET, MATEO"
1145,"BOVET, MATEO"
1146,"BOVET, MATEO"
1147,"BOVET, MATEO"
1148,"BOVET, MATEO"
1149,"BOVET, MATEO"
1150,"BOVET, MATEO"
1151,"BOVET, MATEO"
1152,"BOVET, MATEO"
1153,"BOVET, MATEO"
1154,"BOVET, MATEO"
1155,"BOVET, MATEO"
1156,"BOVET, MATEO"
1157,"BOVET, MATEO"
1158,"BOVET, MATEO"
1159,"BOVET, MATEO"
1160,VARIOS
1161,"CANO HERNANDEZ, PEDRO"
1162,RODRIGUEZ J.F.
1163,"ROS, GERONIMO"
1164,"CANO HERNANDEZ, PEDRO"
1165,"ROSIQUE GAYA, BLAS"
1166,"ROSIQUE GAYA, BLAS"
1167,"ROSIQUE GAYA, BLAS"
1168,"CANO HERNANDEZ, PEDRO"
1169,"ROSIQUE GAYA, BLAS"
1170,"CANOVAS GONZALEZ, JOAQUIN"
1171,"ROSIQUE GAYA, BLAS"
1172,CANOVAS
1173,"ROSIQUE GAYA, BLAS"
1174,"ROSIQUE GAYA, BLAS"
1175,CANOVAS MORALES
1176,"ROSIQUE GAYA, BLAS"
1177,"MARTINEZ MANZANO, ANTONIO"
1178,"MARTINEZ MANZANO, ANTONIO"
1179,"MARTINEZ MANZANO, ANTONIO"
1180,"MARTINEZ MANZANO, ANTONIO"
1181,"MARTINEZ MANZANO, ANTONIO"
1182,"MARTINEZ MENGUAL, ANTONIO"
1183,MATO
1184,CAMPILLO CARCELES
1185,"CANO HERNANDEZ, PEDRO"
1186,"CANO HERNANDEZ, PEDRO"
1187,"CANOVAS GONZALEZ, JOAQUIN"
1188,"CANOVAS GONZALEZ, JOAQUIN"
1189,CANOVAS MORALES
1190,"CARRASCO JIMENO,JOSE MARIA"
1191,"CASTELLAR, JOAQUIN"
1192,ALARCON FELICES
1193,"VALVERDE CANOVAS, MIGUEL"
1194,"VALVERDE CANOVAS, MIGUEL"
1195,DESCONOCIDO
1196,"VALVERDE CANOVAS, MIGUEL"
1197,"ALCALDE, JUAN"
1198,"VALVERDE CANOVAS, MIGUEL"
1199,DESCONOCIDO
1200,DESCONOCIDO
1201,"VALVERDE CANOVAS, MIGUEL"
1202,DESCONOCIDO
1203,"VALVERDE CANOVAS, MIGUEL"
1204,ALEDO
1205,"ALMANSA, SEVERO"
1206,"VALVERDE CANOVAS, MIGUEL"
1207,"MARTINEZ MENGUAL, ANTONIO"
1208,MATO
1209,"MEDINA VERA, INOCENCIO"
1210,"MEDINA VERA, INOCENCIO"
1211,"ROSIQUE GAYA, BLAS"
1212,"ROSIQUE GAYA, BLAS"
1213,"CASTELLAR, JOAQUIN"
1214,"CERDA, L."
1215,"RUIPEREZ, LUIS"
1216,DIAZ CEREZO
1217,"RUIZ, VICENTE"
1218,"CERDA, L."
1219,RUIZ GARCIA-TREJO
1220,"RUIZ LLAMAS, GRACIA"
1221,"CHILLIDA, EDUARDO"
1222,"HERRERA, LUIS"
1223,DIAZ CEREZO
1224,"RUIZ MARTINEZ, J."
1225,"CIER, MARUJA"
1226,"SAEZ, ASENSIO"
1227,"CLAROS, JOSE"
1228,"SAEZ, ASENSIO"
1229,SALINAS CORREAS
1230,ABELLO MARTIN
1231,DESCONOCIDO
1232,DESCONOCIDO
1233,"CORTILS, EDUARDO"
1234,"TEJEO, RAFAEL"
1235,MARTINEZ LAX
1236,DESCONOCIDO
1237,DESCONOCIDO
1238,DESCONOCIDO
1239,DESCONOCIDO
1240,DESCONOCIDO
1241,DESCONOCIDO
1242,"BELZUNCE, MANOLO"
1243,"FRUCTUOSO, MIGUEL"
1244,DESCONOCIDO
1245,DESCONOCIDO
1246,DESCONOCIDO
1247,DESCONOCIDO
1248,DESCONOCIDO
1249,DESCONOCIDO
1250,DESCONOCIDO
1251,DESCONOCIDO
1252,DESCONOCIDO
1253,DESCONOCIDO
1254,DESCONOCIDO
1255,DESCONOCIDO
1256,DESCONOCIDO
1257,DESCONOCIDO
1258,DESCONOCIDO
1259,DESCONOCIDO
1260,DESCONOCIDO
1261,DESCONOCIDO
1262,DESCONOCIDO
1263,DESCONOCIDO
1264,DESCONOCIDO
1265,DESCONOCIDO
1266,DESCONOCIDO
1267,DESCONOCIDO
1268,DESCONOCIDO
1269,DESCONOCIDO
1270,DESCONOCIDO
1271,DESCONOCIDO
1272,DESCONOCIDO
1273,DESCONOCIDO
1274,DESCONOCIDO
1275,DESCONOCIDO
1276,DESCONOCIDO
1277,DESCONOCIDO
1278,DESCONOCIDO
1279,DESCONOCIDO
1280,CONFLICTOS DE ...
1281,DESCONOCIDO
1282,DESCONOCIDO
1283,DESCONOCIDO
1284,DESCONOCIDO
1285,DESCONOCIDO
1286,DESCONOCIDO
1287,DESCONOCIDO
1288,DESCONOCIDO
1289,DESCONOCIDO
1290,DESCONOCIDO
1291,MARINA NU�EZ
1292,"FRUCTUOSO, MIGUEL"
1293,MARINA NU�EZ
1294,"CHARRIS, ANGEL MATEO"
1295,DESCONOCIDO
1296,DESCONOCIDO
1297,DESCONOCIDO
1298,DESCONOCIDO
1299,DESCONOCIDO
1300,DESCONOCIDO
1301,DESCONOCIDO
1302,DESCONOCIDO
1303,DESCONOCIDO
1304,DESCONOCIDO
1305,DESCONOCIDO
1306,DESCONOCIDO
1307,DESCONOCIDO
1308,"JIMENEZ, CARMEN"
1309,DESCONOCIDO
1310,DESCONOCIDO
1311,DESCONOCIDO
1312,DESCONOCIDO
1313,"AVELLANEDA, MANUEL"
1314,BALIBREA
1315,VARIOS
1316,VARIOS
1317,VARIOS
1318,VARIOS
1319,VARIOS
1320,VARIOS
1321,VARIOS
1322,VARIOS
1323,VARIOS
1324,VARIOS
1325,VARIOS
1326,VARIOS
1327,DESCONOCIDO
1328,"AVELLANEDA, MANUEL"
1329,DESCONOCIDO
1330,DESCONOCIDO
1331,DESCONOCIDO
1332,"AVELLANEDA, MANUEL"
1333,"AVELLANEDA, MANUEL"
1334,"AVELLANEDA, MANUEL"
1335,"AVELLANEDA, MANUEL"
1336,"AVELLANEDA, MANUEL"
1337,CARMELA
1338,ESCUELA DE SALZILLO
1339,"MESEGUER ALCARAZ, ANTONIO"
1340,"MESEGUER ALCARAZ, ANTONIO"
1341,DESCONOCIDO
1342,"MESEGUER ALCARAZ, ANTONIO"
1343,"MESEGUER ALCARAZ, ANTONIO"
1344,DESCONOCIDO
1345,"MESEGUER ALCARAZ, ANTONIO"
1346,"MESEGUER ALCARAZ, ANTONIO"
1347,DESCONOCIDO
1348,"MESEGUER ALCARAZ, ANTONIO"
1349,"MESEGUER ALCARAZ, ANTONIO"
1350,BALIBREA
1351,DESCONOCIDO
1352,DESCONOCIDO
1353,"FONTCUBERTA, JOAN"
1354,OO
1355,"AVELLANEDA, MANUEL"
1356,"FLORES, PEDRO"
1357,"CERDA, L."
1358,"FALGAS RIGAL, JOSE MARIA"
1359,"ARMI�ANA, VICENTE"
1360,"FERNANDEZ, LUIS J."
1361,"PINA NORTES, �NGEL"
1362,"GARC�A TALAVERA, JUAN JOS�"
1363,"GARC�A TALAVERA, JUAN JOS�"
1364,"YAG�ES, PEPE"
1365,"HARO, ANGEL"
1366,DESCONOCIDO
1367,"MOLINA SANCHEZ, LUIS"
1368,TERESA GARCIA MACABICH
1369,OCTAVIANO
1370,DESCONOCIDO
1371,DESCONOCIDO
1372,"MEDINA VERA, INOCENCIO"
1373,"MEDINA VERA, INOCENCIO"
1374,"MEDINA VERA, INOCENCIO"
1375,"MEDINA VERA, INOCENCIO"
1376,"MEDINA VERA, INOCENCIO"
1377,"MEDINA VERA, INOCENCIO"
1378,"MEDINA VERA, INOCENCIO"
1379,"MEDINA VERA, INOCENCIO"
1380,"MEDINA VERA, INOCENCIO"
1381,"MEDINA VERA, INOCENCIO"
1382,"MEDINA VERA, INOCENCIO"
1383,"MEDINA VERA, INOCENCIO"
1384,"MEDINA VERA, INOCENCIO"
1385,"MEDINA VERA, INOCENCIO"
1386,"MEDINA VERA, INOCENCIO"
1387,"MEDINA VERA, INOCENCIO"
1388,"MEDINA VERA, INOCENCIO"
1389,"MEDINA VERA, INOCENCIO"
1390,"MEDINA VERA, INOCENCIO"
1391,"MEDINA VERA, INOCENCIO"
1392,"MEDINA VERA, INOCENCIO"
1393,"MEDINA VERA, INOCENCIO"
1394,"MEDINA VERA, INOCENCIO"
1395,"MEDINA VERA, INOCENCIO"
1396,"MEDINA VERA, INOCENCIO"
1397,"MEDINA VERA, INOCENCIO"
1398,"MEDINA VERA, INOCENCIO"
1399,"MEDINA VERA, INOCENCIO"
1400,"MEDINA VERA, INOCENCIO"
1401,"MEDINA VERA, INOCENCIO"
1402,"MEDINA VERA, INOCENCIO"
1403,"MEDINA VERA, INOCENCIO"
1404,"MEDINA VERA, INOCENCIO"
1405,"MEDINA VERA, INOCENCIO"
1406,"MEDINA VERA, INOCENCIO"
1407,"MEDINA VERA, INOCENCIO"
1408,"MEDINA VERA, INOCENCIO"
1409,"MEDINA VERA, INOCENCIO"
1410,"MEDINA VERA, INOCENCIO"
1411,"MEDINA VERA, INOCENCIO"
1412,"MEDINA VERA, INOCENCIO"
1413,"MEDINA VERA, INOCENCIO"
1414,"MEDINA VERA, INOCENCIO"
1415,"MEDINA VERA, INOCENCIO"
1416,"MEDINA VERA, INOCENCIO"
1417,"MEDINA VERA, INOCENCIO"
1418,"MEDINA VERA, INOCENCIO"
1419,"MEDINA VERA, INOCENCIO"
1420,"MEDINA VERA, INOCENCIO"
1421,"MEDINA VERA, INOCENCIO"
1422,"MEDINA VERA, INOCENCIO"
1423,"MEDINA VERA, INOCENCIO"
1424,"MEDINA VERA, INOCENCIO"
1425,"MEDINA VERA, INOCENCIO"
1426,"MEDINA VERA, INOCENCIO"
1427,"MEDINA VERA, INOCENCIO"
1428,"MEDINA VERA, INOCENCIO"
1429,"MEDINA VERA, INOCENCIO"
1430,"MEDINA VERA, INOCENCIO"
1431,"MEDINA VERA, INOCENCIO"
1432,"MEDINA VERA, INOCENCIO"
1433,"MEDINA VERA, INOCENCIO"
1434,"MEDINA VERA, INOCENCIO"
1435,"MEDINA VERA, INOCENCIO"
1436,"MEDINA VERA, INOCENCIO"
1437,"MEDINA VERA, INOCENCIO"
1438,"MEDINA VERA, INOCENCIO"
1439,"MEDINA VERA, INOCENCIO"
1440,"MEDINA VERA, INOCENCIO"
1441,"MEDINA VERA, INOCENCIO"
1442,"MEDINA VERA, INOCENCIO"
1443,"MEDINA VERA, INOCENCIO"
1444,"MEDINA VERA, INOCENCIO"
1445,"MEDINA VERA, INOCENCIO"
1446,"MEDINA VERA, INOCENCIO"
1447,"MEDINA VERA, INOCENCIO"
1448,"MEDINA VERA, INOCENCIO"
1449,"MEDINA VERA, INOCENCIO"
1450,"MEDINA VERA, INOCENCIO"
1451,"MEDINA VERA, INOCENCIO"
1452,"MEDINA VERA, INOCENCIO"
1453,"MEDINA VERA, INOCENCIO"
1454,"MEDINA VERA, INOCENCIO"
1455,"MEDINA VERA, INOCENCIO"
1456,"MEDINA VERA, INOCENCIO"
1457,"MEDINA VERA, INOCENCIO"
1458,"MEDINA VERA, INOCENCIO"
1459,"MEDINA VERA, INOCENCIO"
1460,"MEDINA VERA, INOCENCIO"
1461,"MEDINA VERA, INOCENCIO"
1462,"MEDINA VERA, INOCENCIO"
1463,"MEDINA VERA, INOCENCIO"
1464,"MEDINA VERA, INOCENCIO"
1465,"MEDINA VERA, INOCENCIO"
1466,"MEDINA VERA, INOCENCIO"
1467,"MEDINA VERA, INOCENCIO"
1468,"MEDINA VERA, INOCENCIO"
1469,"MEDINA VERA, INOCENCIO"
1470,"MEDINA VERA, INOCENCIO"
1471,"MEDINA VERA, INOCENCIO"
1472,"MEDINA VERA, INOCENCIO"
1473,"MEDINA VERA, INOCENCIO"
1474,"MEDINA VERA, INOCENCIO"
1475,"MEDINA VERA, INOCENCIO"
1476,"MEDINA VERA, INOCENCIO"
1477,"MEDINA VERA, INOCENCIO"
1478,"MEDINA VERA, INOCENCIO"
1479,"MEDINA VERA, INOCENCIO"
1480,"MEDINA VERA, INOCENCIO"
1481,"MEDINA VERA, INOCENCIO"
1482,"MEDINA VERA, INOCENCIO"
1483,"MEDINA VERA, INOCENCIO"
1484,"MEDINA VERA, INOCENCIO"
1485,"MEDINA VERA, INOCENCIO"
1486,"MEDINA VERA, INOCENCIO"
1487,"MEDINA VERA, INOCENCIO"
1488,"MEDINA VERA, INOCENCIO"
1489,"MEDINA VERA, INOCENCIO"
1490,"MEDINA VERA, INOCENCIO"
1491,"MEDINA VERA, INOCENCIO"
1492,"MEDINA VERA, INOCENCIO"
1493,"MEDINA VERA, INOCENCIO"
1494,"MEDINA VERA, INOCENCIO"
1495,"MEDINA VERA, INOCENCIO"
1496,"MEDINA VERA, INOCENCIO"
1497,"MEDINA VERA, INOCENCIO"
1498,"MEDINA VERA, INOCENCIO"
1499,"MEDINA VERA, INOCENCIO"
1500,"MEDINA VERA, INOCENCIO"
1501,"MEDINA VERA, INOCENCIO"
1502,"GONZALEZ BELTRAN, MARIANO"
1503,DESCONOCIDO
1504,MANUEL MENARGUEZ
1505,"CANOVAS SALA, FRANCISCO"
1506,"CANOVAS SALA, FRANCISCO"
1507,"CANOVAS SALA, FRANCISCO"
1508,ANTONIO CAMPILLO PARRAGA
1509,DESCONOCIDO
1510,"CANO HERNANDEZ, PEDRO"
1511,"BERNAL MU�OZ, FRANCISCO MANUEL"
1512,ANTONIO CAMPILLO PARRAGA
1513,"CANO HERNANDEZ, PEDRO"
1514,DESCONOCIDO
1515,DESCONOCIDO
1516,"MUNDET ALTIMIRA, JOAN"
1517,"MUNDET ALTIMIRA, JOAN"
1518,"GONZALEZ BELTRAN, MARIANO"
1519,DESCONOCIDO
1520,DESCONOCIDO
1521,DESCONOCIDO
1522,"NU�EZ PRECIOSO, LUIS FELIPE"
1523,"SERNA VERDU, PEDRO"
1524,"SERNA VERDU, PEDRO"
1525,"JIMENEZ SILVENTE, JESUS"
1526,"CORONADO, MANUEL"
1527,"CORONADO, MANUEL"
1528,"CAMPILLO PARRAGA, ANTONIO"
1529,"CAMPILLO PARRAGA, ANTONIO"
1530,"CAMPILLO PARRAGA, ANTONIO"
1531,"CAMPILLO PARRAGA, ANTONIO"
1532,"CAMPILLO PARRAGA, ANTONIO"
1533,"CAMPILLO PARRAGA, ANTONIO"
1534,MUHER
1535,"GONZALEZ BELTRAN, MARIANO"
1536,"GONZALEZ BELTRAN, MARIANO"
1537,"GONZALEZ BELTRAN, MARIANO"
1538,"ALVAREZ BASSO, DARIO"
1539,VARIOS
1540,"BELZUNCE, MANOLO"
1541,"BELZUNCE, MANOLO"
1542,"MARTINEZ MENGUAL, ANTONIO"
1543,VARIOS
1544,"FALGAS RIGAL, JOSE MARIA"
1545,"GONZALEZ BELTRAN, MARIANO"
1546,DESCONOCIDO
1547,"PARRAGA, JOSE MARIA"
1548,"PARRAGA, JOSE MARIA"
1549,"PARRAGA, JOSE MARIA"
