,nombre_autor
179,"SICRE MAQUEDA, GONZALO"
180,"PEREZ MARTINEZ, AURELIO"
181,"PEREZ MARTINEZ, AURELIO"
182,"PEREZ MARTINEZ, AURELIO"
183,"TORRES LLAMAS, FRANCISCO"
184,"TORRES LLAMAS, FRANCISCO"
185,"TORRES LLAMAS, FRANCISCO"
186,"TORRES LLAMAS, FRANCISCO"
187,"TORRES LLAMAS, FRANCISCO"
188,"PARRAGA, JOSE MARIA"
189,EMILIO PASCUAL
190,DESCONOCIDO
191,SAENZ LLORENTE
192,"ATALAYA, ENRIQUE"
193,"AVELLANEDA, MANUEL"
194,WILLIAMS HOUGURT Y LUKE SULLIV
195,HAIG.A.H.
196,"PARRAGA, JOSE MARIA"
197,"CORTILS, EDUARDO"
198,"PEREZ MARTINEZ, AURELIO"
199,"AVELLANEDA, MANUEL"
200,"BARNUEVO, MANUEL"
201,"HERNANSAEZ DE DIOS, ANGEL"
202,"MARTINEZ MENGUAL, ANTONIO"
203,"MOLINA SANCHEZ, LUIS"
204,"MU�OZ BARBERAN, MANUEL"
205,SANCHEZ M.
206,CRESPO FOIX
207,"JEREZ FERNANDEZ, TOMAS"
208,"BETANCURT, JUAN JOSE"
209,"ALARCON TUDELA, JOSE"
210,"BETANCURT, JUAN JOSE"
211,"LOPEZ RODRIGUEZ, ANTONIO"
212,MARTINEZ HITA
213,"NAVARRO, CARMEN"
214,"ORTEGA, JOSE"
215,"CEREZO MONTILLA, FRANCISCO"
216,"CEREZO MONTILLA, FRANCISCO"
217,"VILLAJOS, CONCHI"
218,"TOVAR,JOSEFA"
219,BASI ALONS Y CONSUELO TARRAGA
220,"MARTINEZ MENGUAL, ANTONIO"
221,"MIRETE, DIEGO"
222,BLAYA REYES
223,CHAFER BIXQUERT
224,"CUESTA VALERA, SALOME"
225,"ORTU�O MENGUAL, PEDRO"
226,"MARTINEZ TORRES, ANTONIO"
227,"BAS,PEDRO"
228,"SAENZ, CARMEN"
229,SIXTO BLASCO
230,SIXTO BLASCO
231,SANCHEZ ABRIL
232,"PINA RUIZ, ANGEL"
233,"BARNUEVO, MANUEL"
234,"BARNUEVO, MANUEL"
235,"LINARES, ESTEBAN"
236,WILLI RAMOS
237,"MARTINEZ MENGUAL, ANTONIO"
238,"MARTINEZ MENGUAL, ANTONIO"
239,"MARTINEZ MENGUAL, ANTONIO"
240,"LINARES, ESTEBAN"
241,DESCONOCIDO
242,WILLI RAMOS
243,"LINARES, ESTEBAN"
244,"MARTINEZ, C."
245,"ROS, VICENTE"
246,"ROS, VICENTE"
247,"NAVARRO, GABRIEL"
248,"NAVARRO, GABRIEL"
249,"NAVARRO, GABRIEL"
250,"NAVARRO, GABRIEL"
251,"NAVARRO, GABRIEL"
252,"ROS, VICENTE"
253,"RUIZ, VICENTE"
254,"ROS, VICENTE"
255,"ROS, VICENTE"
256,"ROS, VICENTE"
257,"ROS, VICENTE"
258,DESCONOCIDO
259,"SALAS, PILAR"
260,"SORIANO TALAVERA, ANTONIO"
261,"SERNA VERDU, PEDRO"
262,SOBEJANO
