id_autor,id_usuario,titulo,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
1535,1,DOS CANDELABROS,20.0,20.0,65.0,DESCONOCIDA,OTROS,,BRONCE,SIN DEFINIR
1535,1,RELOJ DE PARED,0.0,24.0,0.0,DESCONOCIDA,OTROS,,PORCELANA,SIN DEFINIR
1535,1,FIGURA DE HUERTANOS,0.0,12.0,22.0,DESCONOCIDA,OTROS,,BARRO,SIN DEFINIR
2068,1,ATALAYA,0.0,63.0,54.0,DESCONOCIDA,PINTURA,,OLEO,PAISAJE
2069,1,MENINA EN GRISES,0.0,60.0,81.0,DESCONOCIDA,PINTURA,,OLEO,RETRATO
2069,1,EL HUERTANO,0.0,28.0,59.0,DESCONOCIDA,PINTURA,,TINTA,FIGURATIVO
2069,1,MUJER,0.0,28.0,59.0,DESCONOCIDA,PINTURA,PAPEL,TINTA,RETRATO
2070,1,FUSILAMIENTOS,0.0,100.0,81.0,DESCONOCIDA,PINTURA,,OLEO,FIGURATIVO
2070,1,RETRATO DE ADELA,0.0,45.0,66.0,DESCONOCIDA,DIBUJO,,,RETRATO
2070,1,RETRATO DE ADELA,0.0,35.0,44.0,DESCONOCIDA,DIBUJO,,,RETRATO
1560,1,RETRATO DE SE�ORA DE NICOLAS,0.0,28.8,28.0,DESCONOCIDA,DIBUJO,,ACUARELA,RETRATO
2072,1,DA,0.0,70.5,50.0,DESCONOCIDA,PINTURA,,OLEO,RETRATO
2072,1,PAISAJE DE BILBAO,0.0,34.0,59.0,DESCONOCIDA,PINTURA,,OLEO,PAISAJE
2072,1,LIBROS Y CERAMICA,0.0,81.0,61.0,DESCONOCIDA,PINTURA,,OLEO,INTERIOR
1562,1,PAISAJE DEL RIO,0.0,60.0,45.0,DESCONOCIDA,PINTURA,,ACUARELA,PAISAJE
2074,1,OCHO DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2075,1,NUEVE DE ESPADAS.,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2076,1,DIEZ DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2077,1,ONCE DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2078,1,DOCE DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2069,1,AS DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2079,1,DOS DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2080,1,TRES DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2081,1,CUATRO DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2082,1,CINCO DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2083,1,SEIS DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2084,1,SIETE DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2085,1,OCHO DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2086,1,NUEVE DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2087,1,DIEZ DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2088,1,ONCE DE BATOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2089,1,DOCE DE BASTOS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2090,1,COMODIN,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2091,1,COMODIN,0.0,30.0,40.0,DESCONOCIDA,ESCULTURA,,,COMPOSICION
2092,1,MAS ALLA DEL MAR,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2093,1,CARTEL CAMPA�A ANIMACION A LA LECTURA,0.0,0.0,0.0,DESCONOCIDA,DIBUJO,,,SIN DEFINIR
2094,1,TEXTURAS VEGETALES,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2094,1,EIROS(LIMONES),0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2095,1,ALMENDRO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2096,1,ALCARRE�A Y NARANJOS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2097,1,VENTANA ANDALUZA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2098,1,SEIS DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2099,1,SIETE DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2100,1,OCHO DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2101,1,NUEVE DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2102,1,DIEZ DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2103,1,ONCE DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2104,1,DOCE DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2105,1,AS DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1595,1,COPAS BARAJA MURCIANA - EXPOSICION U..,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2107,1,TRES DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2108,1,CUATRO DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2109,1,CINCO DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2110,1,SEIS DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2050,1,SIETE DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2111,1,OCHO DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2112,1,NUEVE DE OCPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2053,1,DIEZ DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2113,1,ONCE DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2114,1,DOCE DE COPAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2115,1,AS DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1605,1,DOS DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2117,1,TRES DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2118,1,CUATRO DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2119,1,CINCO DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1609,1,SEIS DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2121,1,SIETE DE ESPADAS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2079,1,LA ORZA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1609,1,ARROPE Y FLORES,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2076,1,LAS DOS ORZAS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2055,1,MONUMENTO A LA CAPA,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2072,1,OBRAS EN EL CENAJO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2122,3,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2123,1,HOMENAJE A PALLADIO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2124,1,MOMENTO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2125,1,DAFNE,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2126,1,"VENUS BELLUM, VENUS BELLUM",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2127,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1617,1,TRAMPA,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2081,1,TIEMPO TRAS EL TIEMPO,165.0,130.0,157.0,DESCONOCIDA,ESCULTURA,TELA,MADERA,COMPOSICION
2129,1,MOVIL S/T,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1619,1,"PARA MURCIA I, II, III.",61.0,100.0,200.0,DESCONOCIDA,ESCULTURA,HIERRO,MARMOL,COMPOSICION
2131,4,POR W. LAIB'94,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2098,1,CERCA DE PORTMAN,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1552,1,EL MARTIRIO DE SAN MIGUEL,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1621,1,REPLICA DEL AUTOGIRO DE LA CIERVA,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2133,1,CABALLO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2134,1,AS DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2093,1,DOS DE OROS.,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2068,1,TRES DE OROS.,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2135,1,CUATRO DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1552,1,CINCO DE OROS,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
2136,1,SUE�O ESTANDO DESPIERTA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2104,1,JOSEF BEUYS EN LA MALVARROSA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1535,1,ESPEJO ALFONSINO,0.0,0.0,0.0,DESCONOCIDA,OTROS,MADERA,CRISTAL,SIN DEFINIR
2137,1,ENTIERRO DE LA SARDINA (3),0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2137,1,ENTIERRO DE LA SARDINA (4),0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2138,1,CALLE,0.0,24.0,35.0,DESCONOCIDA,PINTURA,,,PAISAJE
2138,1,PAISAJE URBANO,0.0,24.0,35.0,DESCONOCIDA,PINTURA,,,PAISAJE
2139,1,CABEZA DE MADERA,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2068,1,PAISAJE,0.0,28.5,20.0,DESCONOCIDA,PINTURA,PAPEL,ACUARELA,PAISAJE
1535,1,SIN TITUTLO,0.0,64.0,80.5,DESCONOCIDA,PINTURA,LIENZO,OLEO,PAISAJE
1605,4,MEDITERRANEO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2104,1,NOCHE DE VERANO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2135,1,6 MAGNIFICOS TOROS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2081,1,TOTEM 3/30,0.0,111.0,228.0,DESCONOCIDA,SERIGRAFIA,PAPEL,,COMPOSICION
1629,1,SORPRENDETEMENTE INEDITO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,LIENZO,ACRILICO,SIN DEFINIR
1595,1,CON SUMA ARTE,0.0,0.0,0.0,DESCONOCIDA,OBRA GRAFICA,PAPEL,,COMPOSICION
2091,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OBRA GRAFICA,,,FIGURATIVO
2141,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,PAPEL,,SIN DEFINIR
2081,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,PAPEL,,SIN DEFINIR
1631,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,,,SIN DEFINIR
1535,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,PAPEL,OTROS,COMPOSICION
1632,1,BA�ISTA,0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,,,SIN DEFINIR
1535,1,PAISAJE INVERNAL,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1605,1,FLORES Y ORZA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
